gene	kcore
CLDN10	68
CLDN18	68
CLDN11	72
CLDN14	160
CLDN15	160
CLDN16	77
CLDN19	70
CLDN17	160
CLDN2	138
CLDN20	160
CLDN22	160
CLDN23	160
CLDN24	160
CLDN25	160
CLDN4	116
CLDN8	77
CLDN5	396
CLDN7	99
PRSS2	91
PRSS1	91
FRMD4A	69
FRMD4B	69
JAM2	262
JAM3	228
MTSS1	240
INSC	277
A1CF	396
MMP1	298
MMP13	301
MMP2	395
MMP3	291
RHOB	298
RHOBTB1	168
RHOBTB2	168
RHOC	298
RHOD	298
RHOF	168
RHOG	302
RHOH	321
RHOJ	298
RHOQ	298
RHOT1	169
RHOT2	189
RHOU	321
RHOV	174
BANF1	264
CCNB1	395
CCNB2	323
CDK1	396
GCK	396
GCKR	239
GEMIN2	303
GEMIN4	260
GEMIN5	310
GEMIN6	257
GEMIN7	260
GEMIN8	255
GLE1	297
HIKESHI	238
IPO8	289
NEK6	339
NEK9	271
NPM1	396
PSIP1	293
RAE1	343
SLBP	313
SNUPN	260
SP100	381
SUMO3	392
XPOT	242
CASP3	433
CASP7	271
AAK1	357
ADRB2	596
AGFG1	230
AMPH	372
AP2A1	378
AP2A2	378
AP2B1	380
AP2M1	382
AP2S1	378
ARF6	380
AVPR2	539
BIN1	395
CD3D	396
CD3G	396
CD4	415
CHRM2	599
CLTA	383
CLTB	383
CTTN	372
DAB2	386
DNAJC6	365
DNM2	396
EPN1	368
EPN2	368
EPS15	372
EPS15L1	365
FCHO1	369
FCHO2	343
FNBP1	365
FNBP1L	365
FZD4	592
GAK	369
GAPVD1	365
HGS	383
HIP1	368
HIP1R	365
IGF2R	226
KIAA0319	229
LDLR	245
LDLRAP1	275
M6PR	214
NECAP1	368
PACSIN2	358
PICALM	372
PIK3C2A	381
RAB5A	368
REPS1	365
REPS2	356
SCARB2	256
SGIP1	357
SLC18A3	214
SLC2A8	225
SNX9	365
STAM	369
STAM2	369
STON2	277
SYNJ1	380
SYNJ2	380
SYT2	215
SYT9	225
TF	357
TFRC	386
TGOLN2	298
VAMP8	230
WNK1	381
WNT5A	592
ASNS	379
AARSD1	226
AASDHPPT	289
NGF	396
AATK	357
ABCC2	396
RDX	270
CACNA1A	599
CACNA1B	599
CACNA1G	245
RAPGEF3	539
RAPGEF4	539
MSN	298
PDE12	396
SMC1A	359
ABI1	368
ABL2	347
BRK1	327
CBLB	389
CYFIP1	352
CYFIP2	341
FER	472
FES	386
FGR	522
FRK	396
INPPL1	381
